grade confidence_levels
Wrong 0.011528251692652702,0.01945757120847702,0.024026913568377495,0.01717127300798893
Wrong 0.013596633449196815,0.029009809717535973,0.02009453997015953,0.07013679295778275
Wrong 0.006925034802407026,0.001984046306461096,0.009997423738241196,0.006817646790295839
Wrong 0.01361938752233982,0.005209876224398613,0.012400583364069462,0.011832722462713718,0.0184706449508667,0.013726218603551388
Correct 0.09248620271682739,0.031466688960790634,0.005597773008048534
Wrong 0.012466642074286938,0.001609913306310773,0.002961082849651575,0.004274824168533087,0.007924281992018223,0.009484135545790195
Correct 0.022070785984396935,0.007808319758623838,0.003926272038370371,0.04528624936938286
Correct 0.03874834254384041,0.009495651349425316,0.007337672170251608,0.014479140751063824
Wrong 0.016128890216350555,0.005444869864732027,0.00738433888182044,0.010744149796664715,0.019607754424214363,0.003102398943156004,0.0059800418093800545,0.027010805904865265
Wrong 0.04287898540496826,0.020573532208800316,0.028120698407292366,0.04528919234871864
Wrong 0.04376785829663277,0.028038686141371727,0.09122005850076675
Correct 0.036968130618333817,0.044591985642910004,0.02173243649303913
Correct 0.024008287116885185,0.01235839631408453,0.00693243183195591,0.012262226082384586,0.01325863879173994,0.0208587683737278
Wrong 0.024173911660909653,0.004542125388979912,0.011781396344304085,0.020356422290205956
Wrong 0.053899284452199936,0.017498498782515526,0.02300136536359787,0.06760477274656296
Correct 0.00930861011147499,0.00854203850030899,0.008676568977534771,0.03710499033331871
Wrong 0.01882541924715042,0.00910337083041668,0.03031887300312519,0.014099576510488987,0.05321139469742775
Correct 0.005924951285123825,0.041774846613407135,0.006209285464137793,0.004507455509155989,0.020680256187915802
Correct 0.015745859593153,0.004107550717890263,0.010488995350897312,0.052441731095314026,0.02896113321185112
Correct 0.031231218948960304,0.046518538147211075,0.042026299983263016
Correct 0.07099036127328873,0.044424332678318024
Correct 0.005580023862421513,0.0007610976463183761,0.0044836741872131824,0.0010733198141679168,0.006730801425874233,0.04423455521464348,0.002202313859015703,0.0029867710545659065,0.005080678500235081,0.013385810889303684,0.0018690809374675155,0.0020209532231092453,0.010025477968156338
Wrong 0.02247849479317665,0.005818228702992201,0.007128644268959761,0.008531870320439339,0.04871555045247078
Wrong 0.008672810159623623,0.004327018279582262,0.005512767471373081,0.003504132153466344,0.00814735610038042,0.01232657115906477
Wrong 0.06624152511358261,0.06887999176979065
Correct 0.008241694420576096,0.10522270202636719,0.008306317962706089,0.004446049686521292,0.009864039719104767
Correct 0.01866111159324646,0.0018915164982900023,0.010632759891450405,0.0773482620716095
Correct 0.03548334538936615,0.019749421626329422,0.06733553856611252
Correct 0.01855032704770565,0.010405784472823143,0.015140330418944359,0.010085633024573326,0.06474705040454865
Wrong 0.05989808216691017,0.0689420998096466
Correct 0.012478824704885483,0.0027198989409953356,0.0021348753944039345,0.0018260559299960732,0.016148826107382774,0.030645113438367844
Correct 0.01142877247184515,0.0927477478981018,0.010406013578176498,0.026781082153320312
Correct 0.037224650382995605,0.013169539161026478,0.03901108726859093,0.03524356335401535
Wrong 0.05622095614671707,0.019735371693968773,0.01636120304465294,0.03153705224394798
Correct 0.024972284212708473,0.004173284862190485,0.02273750677704811,0.18596875667572021
Wrong 0.0031048280652612448,0.08863428980112076,0.03812120854854584
Correct 0.0033794871997088194,0.0007540660444647074,0.0011144367745146155,0.0006602827343158424,0.14482687413692474
Wrong 0.015965798869729042,0.004297134932130575,0.004132515285164118,0.0021272380836308002,0.008028116077184677,0.004399046301841736,0.010803023353219032,0.008347909897565842,0.009608409367501736,0.006501376628875732,0.007781144231557846,0.02323012612760067
Correct 0.0024203634820878506,0.0005316841998137534,0.0014117853716015816,0.09370650351047516,0.0042148190550506115,0.0048512243665754795
Correct 0.009058764204382896,0.010841294191777706,0.008509798906743526
Correct 0.025585878640413284,0.03363197296857834,0.03086244687438011,0.014578389935195446,0.03285297006368637
Correct 0.014355296269059181,0.0061260913498699665,0.05812274292111397
Correct 0.014885916374623775,0.0017918121302500367,0.00190737412776798,0.0019223351264372468,0.005606095772236586,0.03655635565519333,0.016477318480610847
Wrong 0.045972369611263275,0.14609967172145844
Correct 0.016156505793333054,0.10131742805242538,0.007998041808605194,0.038156505674123764
Correct 0.011159314773976803,0.004544125869870186,0.002609472954645753,0.0035389713011682034,0.00391728850081563,0.0016329719219356775,0.001486844033934176,0.0020481992978602648,0.006509189028292894
Correct 0.016833383589982986,0.009591353125870228,0.062057122588157654,0.008076741360127926
Correct 0.02400355227291584,0.03688787668943405,0.012648925185203552,0.0206922460347414
Correct 0.01611166074872017,0.009848853573203087,0.007376452907919884,0.02254425175487995,0.017695201560854912,0.0096961734816432,0.01688491180539131
Correct 0.03858702629804611,0.13259373605251312,0.01131752971559763,0.0365334190428257
Correct 0.10477131605148315,0.03564654663205147
