grade confidence_levels
Correct 0.18883781135082245,0.1435147523880005
Wrong 0.06956668198108673,0.17977561056613922,0.09049304574728012
Wrong 0.023756321519613266,0.02729002572596073,0.016796551644802094,0.028589699417352676,0.023794613778591156,0.04994124546647072
Wrong 0.08524514734745026,0.05480841547250748,0.21733008325099945
Wrong 0.055647559463977814,0.10905946791172028,0.13158468902111053,0.11254413425922394
Correct 0.006397373043000698,0.0005478028324432671,0.0014625022886320949,0.00215888861566782,0.002699892967939377,0.002695226576179266,0.003186300164088607,0.05702533572912216,0.26933130621910095,0.005929653067141771
Correct 0.09163665026426315,0.06334804743528366,0.1212574914097786,0.18602949380874634
Correct 0.017518339678645134,0.011682428419589996,0.029115036129951477,0.027207501232624054,0.023880653083324432,0.012325465679168701,0.025606926530599594
Correct 0.02172606624662876,0.010729160159826279,0.021533695980906487,0.1608896106481552,0.05513499677181244
Correct 0.09218966960906982,0.04465991258621216,0.08590926229953766,0.27045753598213196
Correct 0.09068827331066132,0.008439239114522934,0.02307897061109543,0.14678852260112762
Correct 0.17203795909881592,0.1527436375617981
Wrong 0.3105257451534271,0.05260205268859863,0.10660645365715027
Wrong 0.028862491250038147,0.07430008053779602,0.04080422967672348,0.04363670200109482,0.030248377472162247,0.02201933227479458,0.03099861741065979
Wrong 0.010770967230200768,0.11292615532875061,0.09583626687526703,0.06172453612089157,0.13588714599609375
Wrong 0.03061101585626602,0.01687408611178398,0.12519370019435883,0.057749953120946884,0.025196388363838196,0.10764866322278976
Wrong 0.1267542690038681,0.17316219210624695,0.1789209395647049
Wrong 0.047453515231609344,0.037674982100725174,0.015719765797257423,0.026276836171746254,0.031934745609760284,0.07686088979244232
Correct 0.22652587294578552,0.1834978610277176
Wrong 0.06824557483196259,0.07930552214384079,0.04710521921515465,0.04259119927883148,0.06736317276954651
Wrong 0.10806231200695038,0.10619989037513733,0.13800448179244995,0.15746407210826874
Wrong 0.05186188220977783,0.0559261292219162,0.0926971286535263,0.05428023636341095,0.058415379375219345
Correct 0.03571966663002968,0.011930907145142555,0.015423528850078583,0.021757565438747406,0.018075833097100258,0.11112481355667114,0.006648942828178406,0.016181383281946182
Wrong 0.13568538427352905,0.14620500802993774,0.21152721345424652
