grade confidence_level
Wrong 0.9979463815689087
Wrong 0.8026817440986633
Wrong 0.999943196773529
Wrong 0.9996007680892944
Correct 0.9999969601631165
Wrong 0.9946114420890808
Wrong 0.9240396618843079
Correct 0.9999987483024597
Wrong 0.9998568892478943
Correct 0.9997638463973999
Correct 0.9999964237213135
Correct 0.9999933242797852
Wrong 0.6440242528915405
Wrong 0.9999431371688843
Wrong 0.9406505823135376
Wrong 0.9999983310699463
Wrong 0.9984804391860962
Wrong 0.9999887347221375
Correct 0.9617822170257568
Correct 0.9999990463256836
Correct 0.9996397495269775
Correct 0.8705889582633972
Correct 0.9999649524688721
Wrong 0.9991257786750793
Correct 0.9999987483024597
Correct 0.9999958872795105
Correct 0.9999962449073792
Wrong 0.5379378795623779
Wrong 0.7616117596626282
Correct 0.8416341543197632
Correct 0.9880043864250183
Correct 0.9999950528144836
Correct 0.9999978542327881
Correct 0.6591519117355347
Wrong 0.9999957084655762
Wrong 0.8221834301948547
Correct 0.9999946355819702
Wrong 0.9999933242797852
Wrong 0.9999892711639404
Correct 0.9999946355819702
Correct 0.8806598782539368
Wrong 0.9999960064888
Wrong 0.9341013431549072
Correct 0.9999944567680359
Correct 0.999984622001648
Wrong 0.6550628542900085
Wrong 0.99998539686203
Correct 0.9958357810974121
Correct 0.998347818851471
Correct 0.9999913573265076
Correct 0.9999203681945801
Wrong 0.9999924302101135
Correct 0.9997506737709045
Correct 0.7793338894844055
Correct 0.9999963045120239
Correct 0.9983097910881042
Correct 0.9999716281890869
Correct 0.9999991059303284
Wrong 0.9999983906745911
Correct 0.9999924898147583
Correct 0.9883760809898376
Wrong 0.9647396206855774
Correct 0.9999985694885254
Correct 0.9999862909317017
Correct 0.9999906420707703
Wrong 0.9959710240364075
Wrong 0.9999647736549377
Correct 0.9999641180038452
Correct 0.9999169707298279
Correct 0.6115328073501587
Wrong 0.9735263586044312
Wrong 0.779635488986969
Correct 0.9999772310256958
Correct 0.9999926686286926
Correct 0.9998048543930054
Wrong 0.9997034668922424
Correct 0.9999966025352478
Correct 0.9934826493263245
Wrong 0.9999985694885254
Wrong 0.9999944567680359
Wrong 0.9517403244972229
Correct 0.9999438524246216
Wrong 0.9999976754188538
Wrong 0.999984085559845
Correct 0.8806139230728149
Wrong 0.9999972581863403
Correct 0.999994158744812
Correct 0.9999967813491821
Correct 0.999962329864502
Correct 0.9999938011169434
Correct 0.9998811483383179
Wrong 0.9999171495437622
Correct 0.48432686924934387
Correct 0.9999993443489075
Correct 0.9999263882637024
Correct 0.6248928904533386
Wrong 0.9998200535774231
Wrong 0.9906177520751953
Wrong 0.999976634979248
Wrong 0.9997987747192383
Correct 0.9999852776527405
Wrong 0.9212387800216675
Correct 0.9999896287918091
Correct 0.999988853931427
Correct 0.9999967813491821
Wrong 0.55973881483078
Wrong 0.9998762607574463
Correct 0.9999966621398926
Correct 0.9998669624328613
Wrong 0.9530528783798218
Wrong 0.9901232719421387
Correct 0.9999713897705078
Correct 0.9999987483024597
Correct 0.9996376037597656
Wrong 0.9999955296516418
Wrong 0.9999966025352478
Correct 0.9995824098587036
Wrong 0.7504847049713135
Correct 0.9996089339256287
Correct 0.9999977350234985
Correct 0.999981701374054
Wrong 0.9663779735565186
Wrong 0.9970448017120361
Correct 0.999897837638855
Wrong 0.9483600854873657
Correct 0.84873366355896
Correct 0.9995447993278503
Correct 0.9999741315841675
Wrong 0.9999950528144836
Wrong 0.5583911538124084
Wrong 0.999941885471344
Correct 0.6904959678649902
Wrong 0.9987785220146179
Wrong 0.9999966621398926
Correct 0.9999977946281433
Correct 0.9999967217445374
Wrong 0.8050925135612488
Wrong 0.9999854564666748
Correct 0.9983956217765808
Wrong 0.9999938011169434
Wrong 0.8329101204872131
Correct 0.9999973177909851
Correct 0.6721082925796509
Correct 0.9999908804893494
Wrong 0.9999939799308777
Correct 0.9998518824577332
Wrong 0.9999252557754517
Wrong 0.9999958872795105
Correct 0.9999973773956299
Correct 0.9733232259750366
Wrong 0.9999967217445374
Correct 0.9999855756759644
Correct 0.9758662581443787
Wrong 0.7877223491668701
Correct 0.9997469186782837
Wrong 0.5226712822914124
Correct 0.9997222423553467
Wrong 0.9958446621894836
Correct 0.9997100234031677
Correct 0.99885094165802
Correct 0.9972718954086304
Wrong 0.9999949336051941
Wrong 0.9999972581863403
Correct 0.999040424823761
Wrong 0.7343965172767639
Wrong 0.9755491018295288
Correct 0.999997079372406
Wrong 0.9998362064361572
Correct 0.9647339582443237
Correct 0.9999399185180664
Wrong 0.7712480425834656
Wrong 0.9999988079071045
Correct 0.9999961256980896
Correct 0.9999988675117493
Correct 0.9999967813491821
Correct 0.9999727010726929
Wrong 0.999975860118866
Wrong 0.9998486638069153
Correct 0.5620761513710022
Correct 0.9999968409538269
Correct 0.999817430973053
Wrong 0.9999815821647644
Correct 0.9999908804893494
Wrong 0.8244537711143494
Correct 0.999980628490448
Correct 0.9999570846557617
Wrong 0.9999988079071045
Wrong 0.7651519775390625
Wrong 0.9977061152458191
Wrong 0.9996553063392639
Correct 0.9999893307685852
Correct 0.9999987483024597
Correct 0.999756395816803
Wrong 0.9999953508377075
Wrong 0.9758349657058716
Wrong 0.7915953993797302
Correct 0.9999985694885254
Wrong 0.999982476234436
Wrong 0.5450815558433533
Correct 0.9999991059303284
Correct 0.9867934584617615
Wrong 0.9908063411712646
Correct 0.9999743103981018
Wrong 0.9959607124328613
Unparseable 0
Correct 0.9999936819076538
Correct 0.9999982118606567
Wrong 0.9998379945755005
Correct 0.6294147372245789
Wrong 0.9992559552192688
Correct 0.9667863845825195
Correct 0.9983431100845337
Correct 0.9990537166595459
Wrong 0.999906063079834
Correct 0.9999972581863403
Correct 0.7426928877830505
Correct 0.9994861483573914
Wrong 0.9999821782112122
Correct 0.9998409152030945
Correct 0.9999862909317017
Correct 0.9999945163726807
Correct 0.9999989867210388
Wrong 0.8961889743804932
Correct 0.9891179800033569
Wrong 0.9999976754188538
Wrong 0.9898653030395508
Wrong 0.9999784231185913
Wrong 0.7973939180374146
Correct 0.9999400973320007
Wrong 0.9978066682815552
Wrong 0.9999983906745911
Wrong 0.9952632784843445
Wrong 0.9999971389770508
Wrong 0.9989713430404663
Correct 0.9996712803840637
Correct 0.9184691905975342
Wrong 0.9969266057014465
Wrong 0.9996287226676941
Wrong 0.9999991059303284
Correct 0.9999967217445374
Wrong 0.9643082618713379
Wrong 0.999886155128479
Correct 0.9999419450759888
Correct 0.9999973177909851
Correct 0.9999774694442749
Wrong 0.9999954104423523
Correct 0.9999511241912842
Correct 0.8129487037658691
Wrong 0.9999966621398926
Wrong 0.9997101426124573
Correct 0.8991094827651978
Wrong 0.9999923706054688
