grade confidence_levels
Correct 25.218753814697266,5.564536094665527
Wrong 22.90625762939453,3.758145809173584,19.671897888183594
Correct 22.531335830688477,2.6144580841064453,11.570502281188965,6.930087566375732,11.507939338684082,4.516955375671387
Correct 24.875003814697266,3.2577335834503174,5.84000825881958
Correct 8.969002723693848,12.681280136108398,24.87500762939453,7.453205108642578
Wrong 21.1250057220459,1.8209259510040283,2.7424755096435547,4.68041467666626,19.359416961669922,3.0775227546691895,2.039106607437134,1.940733551979065,6.69959831237793,1.3693721294403076
Wrong 8.78926944732666,6.481802940368652,8.765716552734375,25.76563262939453
Correct 6.133795738220215,3.199976921081543,3.9618606567382812,23.04694366455078,4.996896743774414,4.193602561950684,6.3211517333984375
Wrong 24.968772888183594,4.543141841888428,3.0089619159698486,4.270322322845459,4.441852569580078
Correct 4.832346439361572,2.9186954498291016,21.750024795532227,19.09376335144043
Correct 6.387054443359375,24.6877384185791,13.742202758789062,7.859455108642578
Correct 27.1718807220459,9.994620323181152
Wrong 26.312503814697266,4.510358810424805,3.1706366539001465
Wrong 20.625011444091797,1.852405071258545,6.508127212524414,4.148989677429199,3.0691676139831543,4.211392402648926,6.200468063354492
Wrong 5.9454264640808105,0.35372301936149597,15.328155517578125,14.390676498413086,22.156299591064453
Correct 5.652835845947266,1.5266305208206177,4.344093322753906,6.082108497619629,8.343883514404297,25.9375057220459
Wrong 17.328140258789062,15.34560489654541,19.640642166137695
Wrong 18.09378433227539,6.6704630851745605,22.203153610229492,10.382884979248047,4.110616207122803,3.6401500701904297
Correct 27.000024795532227,7.576442718505859
Wrong 20.140644073486328,4.636373519897461,14.58597469329834,14.414094924926758,15.492212295532227
Correct 6.402806758880615,20.953874588012695,11.398529052734375,10.937579154968262
Correct 8.31255054473877,1.9045295715332031,4.395123481750488,7.578183650970459,25.390636444091797
Correct 25.531253814697266,3.39286732673645,4.519719123840332,4.504077911376953,9.007850646972656,8.187590599060059,5.054892539978027,3.7406070232391357
Wrong 4.707658767700195,11.189994812011719,24.015644073486328
Correct 7.4927167892456055,5.103793621063232,12.406375885009766,22.171920776367188,5.598352432250977,4.309752941131592,6.724820137023926
Wrong 23.406259536743164,3.7521255016326904,9.757962226867676,9.101644515991211
Wrong 4.539843559265137,2.4846994876861572,3.9281198978424072,28.187503814697266,3.2663674354553223
Wrong 5.3482842445373535,1.5154352188110352,6.156478404998779,6.691558837890625,7.664290428161621,24.14064598083496
Correct 5.789463996887207,1.6557903289794922,23.218765258789062,6.750159740447998,6.254387855529785
Correct 19.281309127807617,8.159440994262695,16.843778610229492,18.79689598083496,3.998772144317627
Correct 17.312517166137695,5.379129409790039,23.43750762939453,10.281294822692871,6.230607986450195
Wrong 6.054890155792236,4.581221580505371,15.69533634185791,6.761899471282959,25.000022888183594,4.750653266906738,7.687658309936523,4.672436714172363
Wrong 5.968896865844727,3.281672239303589,23.9687557220459
Wrong 5.7033514976501465,3.448096513748169,6.7969794273376465,26.7500057220459,4.5198469161987305
Wrong 5.54365873336792,16.032392501831055,21.843765258789062,14.039117813110352,5.981127738952637
Correct 26.593751907348633,5.374345302581787
Correct 7.926158428192139,25.32830238342285,7.46117639541626
Wrong 27.375001907348633,2.4762609004974365,3.5061228275299072,5.886775970458984,3.1446914672851562
Correct 7.761851787567139,4.451905250549316,6.863429546356201,23.921886444091797,17.343769073486328,5.317231178283691,7.617541313171387
Wrong 10.758157730102539,16.260221481323242,10.594368934631348,5.6070942878723145
Wrong 4.945552349090576,1.4010385274887085,4.46158504486084,5.711309432983398,25.640636444091797
Correct 4.804946422576904,2.593796730041504,3.761932134628296,28.187501907348633
Wrong 6.496399879455566,2.9545278549194336,11.664113998413086,5.484569549560547,13.187545776367188,23.187519073486328,9.34395694732666
Correct 27.484376907348633,2.7775230407714844,3.2093961238861084,4.507946968078613,3.5411651134490967
Wrong 26.156251907348633,3.310465097427368,2.67277193069458
Correct 25.2187557220459,3.0251500606536865,4.621325969696045,5.394662857055664
Correct 9.531401634216309,4.963900089263916,11.281360626220703,9.383113861083984,5.207620143890381,8.992380142211914,20.390727996826172
Wrong 5.524632930755615,22.141271591186523,6.156675338745117,5.668317794799805,4.0436530113220215
Correct 12.648554801940918,8.246817588806152,16.843791961669922,22.21877670288086,14.125082015991211
Correct 18.140644073486328,3.502676248550415,8.304862022399902,9.203208923339844,21.984392166137695
Wrong 27.156253814697266,1.4049432277679443,2.269102096557617,2.9889514446258545,2.6000521183013916,2.3799033164978027,2.1400487422943115,1.4453213214874268
Correct 25.515626907348633,3.332538366317749,4.906428813934326,4.465063571929932,2.701542377471924
Correct 5.657059192657471,17.346343994140625,19.171974182128906,7.703541278839111,9.406656265258789,7.125608921051025
Correct 4.176154136657715,3.5450918674468994,23.953136444091797
Correct 25.718753814697266,4.142214298248291,4.301196098327637
Correct 20.078163146972656,5.546022415161133,17.171937942504883,14.648530960083008
Correct 6.836133003234863,3.531118631362915,15.60942554473877,23.65627098083496
Wrong 5.504327297210693,1.3709754943847656,4.980693340301514,25.32813262939453,4.891257286071777,9.172029495239258
Wrong 4.7035112380981445,2.84576416015625,21.578149795532227,5.117324352264404
Correct 5.6017303466796875,2.8948230743408203,26.718751907348633
Correct 5.058828353881836,22.812641143798828,18.156259536743164
Wrong 6.789186000823975,3.787959575653076,15.414076805114746,8.195365905761719,22.79690933227539
Wrong 26.5937557220459,12.649136543273926,6.85168981552124,4.961270332336426
Correct 24.093767166137695,11.228311538696289,13.078182220458984,11.2813081741333
Wrong 7.644676685333252,5.853586673736572,13.375022888183594,24.718759536743164
Correct 5.918203353881836,24.781536102294922
Wrong 24.67188262939453,6.902121543884277,7.277536392211914
Wrong 25.875003814697266,3.151224136352539,3.279930591583252,5.0158233642578125,2.951556921005249,3.5245001316070557,2.847076892852783
Wrong 17.734397888183594,3.7182412147521973,22.406269073486328,8.968789100646973,4.016035556793213
Correct 9.046917915344238,3.8067407608032227,23.359378814697266,7.1211395263671875
Wrong 24.218759536743164,20.734636306762695,6.523596286773682
Correct 5.808995723724365,1.1679213047027588,8.234475135803223,26.87500762939453
Wrong 6.195736408233643,26.51573371887207
Correct 6.957552909851074,1.9319417476654053,22.375049591064453,8.476743698120117,5.156793594360352
Wrong 7.738800048828125,22.359758377075195,4.855985164642334,6.8165483474731445,2.452862024307251,9.375191688537598
Wrong 25.625003814697266,3.561347246170044,3.7951717376708984,4.566571235656738
Wrong 6.871377944946289,23.23468589782715,8.039226531982422
Correct 5.922027111053467,1.0019371509552002,5.000161647796631,5.113356113433838,8.304744720458984,27.453126907348633
Correct 6.480795383453369,24.359725952148438,4.613619327545166,5.012131214141846,4.140974521636963,5.023834705352783
Wrong 4.683897495269775,3.3294501304626465,24.54688262939453,7.6602349281311035
Wrong 5.355592250823975,2.967524290084839,24.4375057220459,6.382876396179199
Wrong 26.26563262939453,3.524198532104492
Correct 11.414188385009766,0.43663957715034485,4.613560199737549,4.621356010437012,5.6721978187561035,22.500011444091797,8.656590461730957
Correct 3.7406275272369385,2.1789889335632324,27.0781307220459,7.320350646972656
Correct 23.656267166137695,5.64945650100708,4.371662616729736,5.156639575958252,4.309042453765869,3.631835699081421
Wrong 26.390628814697266,2.447073221206665,2.9167943000793457,4.097962856292725
Correct 5.902419090270996,2.8204994201660156,4.906506538391113,8.859407424926758,25.937503814697266
Wrong 26.046878814697266,1.6406821012496948,2.550034523010254,3.633233070373535,1.0084306001663208,2.6041111946105957
Correct 4.566977500915527,3.4428598880767822,12.937522888183594,27.484378814697266
Correct 5.0821638107299805,3.24833607673645,24.9375057220459
Wrong 27.093751907348633,3.4099206924438477,3.379337787628174,4.687667369842529,3.3341875076293945
Wrong 8.703343391418457,5.086028099060059,16.76567268371582,16.39067268371582,13.484484672546387,10.523820877075195
Correct 25.781253814697266,3.2480101585388184,3.8793163299560547,4.551025390625
Wrong 6.230701923370361,24.14083480834961,4.270089149475098,6.890754699707031,6.527483940124512,4.574965476989746,3.90488600730896,5.988780975341797,6.980834484100342,3.2007410526275635
Correct 26.062503814697266,4.112144470214844,4.382966041564941,4.89853572845459
Correct 5.5003132820129395,3.3353188037872314,12.703154563903809,27.281259536743164
Wrong 8.891024589538574,6.618672847747803,7.207580089569092,7.121431827545166,5.419371604919434,17.04708480834961,10.812957763671875,5.935845851898193
Correct 14.945391654968262,21.330886840820312,9.953360557556152
Wrong 9.781408309936523,8.50483226776123,12.789139747619629,11.312657356262207,18.875064849853516,6.766523838043213,7.353140830993652,6.200235366821289,16.65637969970703,5.043536186218262,4.240082263946533,7.91034460067749
Correct 5.5081024169921875,0.2748899757862091,2.8405110836029053,4.1134934425354,5.207347393035889,27.6718807220459
Wrong 6.652406215667725,2.7753164768218994,4.789332866668701,7.086023807525635,26.203134536743164
Wrong 9.890923500061035,22.579360961914062
Correct 5.707437992095947,3.2769384384155273,24.2500057220459,7.480527877807617,4.180004596710205
Wrong 5.09021520614624,0.7700055837631226,2.6319236755371094,3.0085153579711914,6.730696201324463,27.734386444091797,5.769909858703613
Correct 4.22294282913208,2.9409561157226562,26.812503814697266,7.667995929718018
Wrong 5.594199180603027,25.734617233276367,7.187719821929932,9.539115905761719
Correct 10.289436340332031,9.113591194152832,16.156599044799805,16.640777587890625,7.52433967590332,6.032658576965332,9.757316589355469
Wrong 6.215187072753906,24.18775177001953,16.109405517578125
Correct 6.80916166305542,3.824294090270996,22.296903610229492,14.25003433227539,7.012174129486084
Wrong 13.398482322692871,5.433762073516846,24.468778610229492,5.511962413787842
Wrong 19.468793869018555,9.941978454589844,19.796907424926758,12.484482765197754,13.468799591064453,5.282059669494629
Wrong 27.375001907348633,5.221182346343994
Correct 5.106111526489258,3.352804660797119,25.265642166137695,5.324395656585693
Correct 5.339991092681885,3.17645525932312,25.000003814697266,9.179719924926758
Wrong 26.828126907348633,2.678556442260742,10.492244720458984
Wrong 15.66409969329834,2.1809463500976562,11.62507152557373,6.230745792388916,7.074515342712402,3.1302874088287354,5.399660110473633,11.906694412231445,16.171981811523438,17.20421600341797,8.953680992126465,10.460989952087402
Wrong 25.95313262939453,11.816407203674316,4.711366653442383
Wrong 12.171934127807617,8.090704917907715,23.453142166137695,8.898533821105957
Wrong 5.9961957931518555,2.9233248233795166,5.738574504852295,5.996395587921143,25.765634536743164
Wrong 6.207218170166016,1.6551560163497925,6.320484161376953,4.305091857910156,5.382989406585693,3.9302141666412354,8.1329984664917,7.047125816345215,24.609390258789062,8.227203369140625,5.778205394744873
Wrong 5.969442844390869,3.8250510692596436,4.992458820343018,4.429944038391113,11.812566757202148,24.656261444091797
