grade confidence_levels
Wrong 24.8125,25.8125,24.5625,28.015625
Correct 27.65625,27.125,29.859375,27.1875
Wrong 27.859375,27.28125,27.171875,26.078125
Wrong 26.1875,24.09375,26.96875,27.484375,25.625,25.640625
Correct 30.671875,24.953125,24.25
Wrong 25.90625,24.734375,24.890625,25.046875,26.578125,22.6875
Wrong 21.828125,17.20313262939453,17.265626907348633,18.281253814697266
Correct 28.921875,25.859375,24.625,26.265625
Wrong 22.140625,23.1875,22.65625,22.34375,22.125,18.890628814697266,19.234376907348633,25.046875
Correct 23.453125,26.125,22.3125,23.859375
Wrong 28.609375,27.09375,28.71875
Correct 26.875,27.84375,26.25
Wrong 23.625,26.25,23.90625,24.90625,23.515625,24.765625
Wrong 30.421875,26.328125,28.625,27.625
Wrong 22.546875,29.125,22.234375,23.3125
Wrong 28.015625,27.109375,23.875,27.734375
Wrong 21.765625,20.0625,22.84375,22.1875,23.625
Wrong 30.140625,23.640625,23.9375,23.78125,26.25
Correct 24.84375,23.53125,24.21875,28.859375,25.203125
Correct 26.953125,31.84375,25.40625
Correct 29.609375,24.5625
Correct 19.546875,19.328125,23.796875,18.609375,17.859375,25.21875,20.609375,18.875,19.265625,20.15625,16.546876907348633,18.90625,19.828125
Wrong 23.28125,22.109375,23.203125,23.078125,26.359375
Wrong 23.71875,24.203125,26.765625,22.984375,23.03125,26.90625
Wrong 31.203125,32.0
Correct 24.125,29.203125,23.59375,25.015625,23.921875
Correct 25.96875,23.140625,22.96875,29.953125
Correct 26.625,27.234375,29.796875
Wrong 22.609375,22.15625,25.421875,21.796875,21.5
Correct 29.171875,28.25
Wrong 22.34375,23.9375,21.21875,23.34375,23.15625,23.140625
Correct 24.765625,30.875,24.296875,24.359375
Wrong 28.71875,27.078125,24.078125,25.875
Correct 25.546875,28.5,23.671875,27.8125
Wrong 25.265625,26.296875,28.96875,25.296875
Wrong 25.921875,30.0,29.671875
Correct 18.796875,18.046875,18.703125,19.03125,29.1875
Correct 18.0625,19.59375,21.25,17.265625,16.875,16.906251907348633,20.0625,18.75,19.5,20.0625,29.078125,23.40625
Correct 22.84375,23.859375,24.734375,29.609375,24.5625,27.265625
Correct 27.46875,27.890625,24.59375
Correct 22.078125,24.359375,23.3125,23.453125,23.359375
Wrong 30.546875,27.46875,26.125
Wrong 22.296875,22.265625,21.59375,21.78125,24.828125,21.5625,23.890625
Wrong 26.625,31.984375
Correct 21.53125,28.1875,22.6875,25.421875
Wrong 22.5,22.828125,22.234375,23.140625,21.515625,22.40625,23.15625,22.015625,21.828125
Wrong 23.375,30.5625,24.40625,24.390625
Correct 24.796875,29.984375,24.109375,26.203125
Correct 23.859375,23.9375,22.515625,25.109375,23.75,22.75,23.609375
Correct 27.4375,31.484375,25.921875,27.6875
Correct 31.453125,28.59375
Wrong 22.375,22.0625,21.609375,24.859375,19.234375,19.578125,25.671875
Wrong 24.0,22.921875,21.171875,23.625
Correct 27.59375,25.125,25.421875,28.921875
Correct 23.78125,28.5,21.328125,24.390625
Correct 22.5625,17.281251907348633,17.765625,18.6875,19.71875
Correct 21.296875,31.1875,23.578125,23.296875,25.28125
Correct 26.484375,25.46875,29.828125,26.765625,25.640625
Wrong 27.84375,31.34375,26.3125
Wrong 23.375,23.375,23.71875,23.59375,26.828125,23.4375,23.3125,22.421875,22.90625,27.265625
Correct 26.8125,22.875,22.71875,21.609375,22.171875,24.890625
Wrong 24.8125,23.265625,28.171875,22.84375,24.453125,21.484375,22.53125,18.921876907348633,22.453125
Correct 29.25,23.59375,24.453125,24.390625,21.90625,22.859375
Correct 22.5,24.828125,25.484375,24.53125,27.609375
Wrong 25.46875,25.171875,23.1875,27.421875,23.171875,26.109375
Wrong 16.75,15.65626335144043,14.390628814697266,15.296881675720215,16.29688262939453,15.523460388183594,17.1250057220459
Wrong 27.890625,23.53125,21.703125,30.171875
Correct 27.96875,30.03125,24.578125
Correct 25.84375,26.21875,28.40625,28.234375,25.765625
Wrong 28.84375,25.890625,28.328125
Wrong 25.546875,23.09375,26.125,24.03125,22.5,20.71875,20.40625,22.75,22.0625,21.015625
Correct 25.328125,31.375,22.546875,26.234375
Correct 24.734375,32.125,24.078125,23.703125
Correct 22.015625,24.125,21.1875,21.03125,19.6875,28.921875
Correct 26.90625,28.78125,25.109375,24.984375
Wrong 22.703125,27.1875,23.5,23.40625
Wrong 24.484375,26.28125,23.9375,22.71875,23.625,23.296875,25.265625,23.296875,22.8125
Wrong 28.015625,25.21875,24.703125,29.03125,23.5625,25.15625
Wrong 20.9375,22.453125,21.859375,23.6875,25.546875
Correct 28.40625,20.203125,22.140625,21.34375,21.59375
Correct 26.140625,25.703125,28.40625,25.765625
Correct 26.375,25.25,27.765625,25.703125,24.9375,24.59375
Wrong 25.703125,22.625,22.15625,26.59375,21.453125,20.203125,21.265625
Wrong 23.0625,22.25,24.734375,22.8125,26.6875,21.421875,22.0625
Correct 33.40625,21.125
Wrong 24.015625,22.421875,22.34375,21.0,23.796875,22.203125
Wrong 27.0,26.03125,29.0,29.90625
Correct 27.921875,26.609375,27.5625,28.5625
Wrong 21.75,21.171875,21.890625,22.34375,25.375,19.234376907348633,19.65625,25.109375
Correct 22.578125,21.515625,23.359375,28.234375,24.34375,24.09375
Wrong 24.75,23.296875,23.375,24.59375,24.078125
Wrong 24.28125,24.25,24.0,25.671875,25.28125,24.8125,31.15625
Correct 25.96875,24.328125,24.640625,27.109375,25.0
Correct 30.28125,27.25,26.84375
Correct 25.3125,23.421875,22.15625,24.859375
Wrong 22.53125,20.640625,21.875,22.421875,21.875,23.359375,23.46875,22.1875,22.484375
Correct 22.90625,26.65625,22.34375,21.9375,21.453125,18.296876907348633,20.40625,20.34375
Wrong 22.734375,22.515625,23.15625,23.015625,29.609375
