grade confidence_levels
Correct 28.28125,24.96875
Wrong 26.359375,30.578125,24.9375
Correct 21.265625,24.1875,21.328125,22.078125,21.75,23.640625
Correct 29.6875,24.984375,26.828125
Correct 26.65625,28.703125,27.34375,27.609375
Correct 21.265625,19.390625,21.5,20.90625,24.125,19.140625,20.640625,26.21875,29.28125,22.265625
Correct 27.984375,25.234375,23.6875,30.21875
Correct 17.703125,17.140626907348633,19.40625,19.34375,18.609376907348633,17.656253814697266,18.250003814697266
Correct 24.046875,22.46875,23.765625,27.140625,25.625
Correct 29.65625,24.171875,26.234375,30.875
Correct 25.328125,23.9375,22.53125,30.296875
Correct 30.984375,28.453125
Wrong 30.671875,28.34375,26.046875
Wrong 21.890625,21.578125,21.21875,22.140625,21.296875,21.09375,20.609376907348633
Wrong 24.78125,28.53125,30.21875,26.03125,30.28125
Wrong 23.21875,21.140625,22.421875,25.203125,21.671875,23.828125
Wrong 29.625,27.78125,27.8125
Correct 20.0,24.421875,20.125,20.078125,19.953125,22.90625
Correct 30.484375,27.84375
Correct 25.796875,24.421875,24.28125,24.625,28.96875
Correct 30.328125,26.21875,26.15625,26.140625
Correct 26.890625,22.4375,25.25,23.140625,22.671875
Correct 24.0,22.265625,24.46875,24.1875,24.734375,29.25,22.140625,20.9375
Correct 26.609375,20.828125,25.53125
Wrong 23.828125,23.84375,23.265625,22.5,23.4375,21.71875,22.171875
Wrong 30.4375,27.21875,28.984375,27.90625
Wrong 19.453125,20.3125,27.328125,21.640625,28.03125
Wrong 24.828125,28.3125,24.734375,26.921875,24.125,24.5
Correct 19.03125,19.09375,20.015625,22.84375,31.0625
Correct 22.4375,19.0,19.40625,20.328125,19.093751907348633
Correct 26.984375,26.375,27.25,27.765625,26.03125
Wrong 25.203125,22.8125,24.0,25.0,27.15625,21.203125,22.390625,27.0625
Wrong 28.0,31.1875,26.5625
Correct 24.59375,23.640625,24.484375,24.28125,30.671875
Correct 26.03125,26.5,25.375,29.390625,25.890625
Correct 32.1875,27.453125
Correct 31.25,24.25,24.71875
Correct 22.390625,20.65625,21.484375,21.171875,26.4375
Wrong 24.578125,24.46875,26.328125,23.3125,25.40625,25.859375,25.078125
Correct 27.875,26.984375,29.859375,29.4375
Correct 22.875,23.28125,23.15625,27.515625,27.734375
Correct 29.25,23.890625,24.296875,24.609375
Wrong 23.609375,24.53125,25.40625,24.21875,25.09375,23.296875,23.625
Correct 26.46875,22.703125,24.796875,24.65625,28.8125
Correct 29.640625,26.5,26.078125
Correct 29.5,27.859375,26.875,28.65625
